Id,IsDeleted,MasterRecordId,Name,Type,ParentId,BillingStreet,BillingCity,BillingState,BillingPostalCode,BillingCountry,BillingLatitude,BillingLongitude,BillingGeocodeAccuracy,BillingAddress,ShippingStreet,ShippingCity,ShippingState,ShippingPostalCode,ShippingCountry,ShippingLatitude,ShippingLongitude,ShippingGeocodeAccuracy,ShippingAddress,Phone,Fax,AccountNumber,Website,PhotoUrl,Sic,Industry,AnnualRevenue,NumberOfEmployees,Ownership,TickerSymbol,Description,Rating,Site,OwnerId,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,LastActivityDate,LastViewedDate,LastReferencedDate,Jigsaw,JigsawCompanyId,CleanStatus,AccountSource,DunsNumber,Tradestyle,NaicsCode,NaicsDesc,YearStarted,SicDesc,DandbCompanyId,OperatingHoursId
0011g00000nAbuuAAC,,,National Dulkis Healthcare,Prospect,,"3107 14th Street, NW",Washington,DC,200102402,US,,,,"{""city"":""Washington"",""country"":""US"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""200102402"",""state"":""DC"",""street"":""3107 14th Street, NW""}","3107 14th Street, NW",Washington,DC,200102402,US,,,,"{""city"":""Washington"",""country"":""US"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""200102402"",""state"":""DC"",""street"":""3107 14th Street, NW""}",(555) 405-2306,(555) 701-7689,000242172673,,/services/images/photo/0011g00000nAbuuAAC,,Healthcare,104204800,2800,Private,,,Hot,,0051g000004BvFfAAK,2014-07-14T02:09:49.000+0000,0051g000004BvFfAAK,2020-05-20T18:18:24.000+0000,0051g000004BvFfAAK,2020-05-20T18:18:25.000+0000,,2020-05-20T18:18:25.000+0000,2020-05-20T18:18:25.000+0000,,,Pending,,,,,,,,,
0011g00000nAbuvAAC,,,Nelmark Retail,Installation Partner,,"42825 Woodward Ave, Village Knoll Shopping Center",Bloomfield Hills,MI,483045036,US,,,,"{""city"":""Bloomfield Hills"",""country"":""US"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""483045036"",""state"":""MI"",""street"":""42825 Woodward Ave, Village Knoll Shopping Center""}","42825 Woodward Ave, Village Knoll Shopping Center",Bloomfield Hills,MI,483045036,US,,,,"{""city"":""Bloomfield Hills"",""country"":""US"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""483045036"",""state"":""MI"",""street"":""42825 Woodward Ave, Village Knoll Shopping Center""}",(555) 228-7970,(555) 344-5174,000774498690,,/services/images/photo/0011g00000nAbuvAAC,,Retail,-1485871296,47000,Public,,,Hot,,0051g000004BvFfAAK,2013-12-27T19:28:19.000+0000,0051g000004BvFfAAK,2020-05-20T18:18:24.000+0000,0051g000004BvFfAAK,2020-05-20T18:18:25.000+0000,,2020-05-20T18:18:25.000+0000,2020-05-20T18:18:25.000+0000,,,Pending,,,,,,,,,
0011g00000nAbuwAAC,,,Hovis Machinery,Installation Partner,,4743 Atlanta Hwy,Loganville,GA,300522666,US,,,,"{""city"":""Loganville"",""country"":""US"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""300522666"",""state"":""GA"",""street"":""4743 Atlanta Hwy""}",4743 Atlanta Hwy,Loganville,GA,300522666,US,,,,"{""city"":""Loganville"",""country"":""US"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""300522666"",""state"":""GA"",""street"":""4743 Atlanta Hwy""}",(555) 787-8154,(555) 610-8308,000964305661,,/services/images/photo/0011g00000nAbuwAAC,,Machinery,3942980,20,Subsidiary,,,Hot,,0051g000004BvFfAAK,2019-12-08T16:09:06.000+0000,0051g000004BvFfAAK,2020-05-20T18:18:24.000+0000,0051g000004BvFfAAK,2020-05-20T18:18:25.000+0000,,2020-05-20T18:18:25.000+0000,2020-05-20T18:18:25.000+0000,,,Pending,,,,,,,,,
0011g00000nAbuxAAC,,,Fletes Manufacturing,Customer - Channel,,"Pioneer Center, Pioneer Ave",Pasig City,0,1603,PH,,,,"{""city"":""Pasig City"",""country"":""PH"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""1603"",""state"":""0"",""street"":""Pioneer Center, Pioneer Ave""}","Pioneer Center, Pioneer Ave",Pasig City,0,1603,PH,,,,"{""city"":""Pasig City"",""country"":""PH"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""1603"",""state"":""0"",""street"":""Pioneer Center, Pioneer Ave""}",(555) 194-4245,(555) 977-1638,000425632270,,/services/images/photo/0011g00000nAbuxAAC,,Manufacturing,59873450,350,Subsidiary,,,Warm,,0051g000004BvFfAAK,2019-04-20T23:30:11.000+0000,0051g000004BvFfAAK,2020-05-20T18:18:24.000+0000,0051g000004BvFfAAK,2020-05-20T18:18:25.000+0000,,2020-05-20T18:18:25.000+0000,2020-05-20T18:18:25.000+0000,,,Pending,,,,,,,,,
0011g00000nAbuyAAC,,,Premier Mungo Transportation,Customer - Channel,,2610 Bishop Dr,San Ramon,CA,945832338,US,,,,"{""city"":""San Ramon"",""country"":""US"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""945832338"",""state"":""CA"",""street"":""2610 Bishop Dr""}",2610 Bishop Dr,San Ramon,CA,945832338,US,,,,"{""city"":""San Ramon"",""country"":""US"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""945832338"",""state"":""CA"",""street"":""2610 Bishop Dr""}",(555) 208-7822,(555) 495-2352,000193285200,,/services/images/photo/0011g00000nAbuyAAC,,Transportation,20559590,430,Private,,,Warm,,0051g000004BvFfAAK,2019-12-25T20:09:18.000+0000,0051g000004BvFfAAK,2020-05-20T18:18:24.000+0000,0051g000004BvFfAAK,2020-05-20T18:18:25.000+0000,,2020-05-20T18:18:25.000+0000,2020-05-20T18:18:25.000+0000,,,Pending,,,,,,,,,
0011g00000nAbuzAAC,,,Delnero Organization,Customer - Channel,,"1428-36, Oncheon-dong, Dongnae-gu, Gumjeong E-Mart",Busan,26,607-837,KR,,,,"{""city"":""Busan"",""country"":""KR"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""607-837"",""state"":""26"",""street"":""1428-36, Oncheon-dong, Dongnae-gu, Gumjeong E-Mart""}","1428-36, Oncheon-dong, Dongnae-gu, Gumjeong E-Mart",Busan,26,607-837,KR,,,,"{""city"":""Busan"",""country"":""KR"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""607-837"",""state"":""26"",""street"":""1428-36, Oncheon-dong, Dongnae-gu, Gumjeong E-Mart""}",(555) 215-8747,(555) 924-1623,000994918576,,/services/images/photo/0011g00000nAbuzAAC,,Not For Profit,13891209,89,Private,,,Warm,,0051g000004BvFfAAK,2017-02-09T00:18:33.000+0000,0051g000004BvFfAAK,2020-05-20T18:18:24.000+0000,0051g000004BvFfAAK,2020-05-20T18:18:25.000+0000,,2020-05-20T18:18:25.000+0000,2020-05-20T18:18:25.000+0000,,,Pending,,,,,,,,,
0011g00000nAbv0AAC,,,Klinkenberg Insurance,Technology Partner,,"Calle Victor Maurtua 110, San Isidro, f3c",Lima,LIM,27,PE,,,,"{""city"":""Lima"",""country"":""PE"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""27"",""state"":""LIM"",""street"":""Calle Victor Maurtua 110, San Isidro, f3c""}","Calle Victor Maurtua 110, San Isidro, f3c",Lima,LIM,27,PE,,,,"{""city"":""Lima"",""country"":""PE"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""27"",""state"":""LIM"",""street"":""Calle Victor Maurtua 110, San Isidro, f3c""}",(555) 848-5678,(555) 300-7072,000997879848,,/services/images/photo/0011g00000nAbv0AAC,,Insurance,2869400,40,Private,,,Hot,,0051g000004BvFfAAK,2016-10-12T01:44:21.000+0000,0051g000004BvFfAAK,2020-05-20T18:18:24.000+0000,0051g000004BvFfAAK,2020-05-20T18:18:25.000+0000,,2020-05-20T18:18:25.000+0000,2020-05-20T18:18:25.000+0000,,,Pending,,,,,,,,,
0011g00000nAbv1AAC,,,Blackson Transportation,Installation Partner,,Wagramer Strasse 81,Wien,9,1220,AT,,,,"{""city"":""Wien"",""country"":""AT"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""1220"",""state"":""9"",""street"":""Wagramer Strasse 81""}",Wagramer Strasse 81,Wien,9,1220,AT,,,,"{""city"":""Wien"",""country"":""AT"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""1220"",""state"":""9"",""street"":""Wagramer Strasse 81""}",(555) 504-6708,(555) 262-7297,000123579928,,/services/images/photo/0011g00000nAbv1AAC,,Transportation,1053078600,8600,Private,,,Warm,,0051g000004BvFfAAK,2004-11-08T23:26:57.000+0000,0051g000004BvFfAAK,2020-05-20T18:18:24.000+0000,0051g000004BvFfAAK,2020-05-20T18:18:25.000+0000,,2020-05-20T18:18:25.000+0000,2020-05-20T18:18:25.000+0000,,,Pending,,,,,,,,,
0011g00000nAbv2AAC,,,Regional Mirles Telecommunications,Prospect,,2195 Gulf to Bay Blvd,Clearwater,FL,33765,US,,,,"{""city"":""Clearwater"",""country"":""US"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""33765"",""state"":""FL"",""street"":""2195 Gulf to Bay Blvd""}",2195 Gulf to Bay Blvd,Clearwater,FL,33765,US,,,,"{""city"":""Clearwater"",""country"":""US"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""33765"",""state"":""FL"",""street"":""2195 Gulf to Bay Blvd""}",(555) 958-5573,(555) 540-1825,000648946186,,/services/images/photo/0011g00000nAbv2AAC,,Telecommunications,11818980,180,Public,,,Hot,,0051g000004BvFfAAK,2011-03-13T18:17:05.000+0000,0051g000004BvFfAAK,2020-05-20T18:18:24.000+0000,0051g000004BvFfAAK,2020-05-20T18:18:25.000+0000,,2020-05-20T18:18:25.000+0000,2020-05-20T18:18:25.000+0000,,,Pending,,,,,,,,,
0011g00000nAbv3AAC,,,Mackinlay Media,Installation Partner,,"10037 Broadview Road, Ridge Park Square, Phase II",Broadview Heights,OH,441473299,US,,,,"{""city"":""Broadview Heights"",""country"":""US"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""441473299"",""state"":""OH"",""street"":""10037 Broadview Road, Ridge Park Square, Phase II""}","10037 Broadview Road, Ridge Park Square, Phase II",Broadview Heights,OH,441473299,US,,,,"{""city"":""Broadview Heights"",""country"":""US"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""441473299"",""state"":""OH"",""street"":""10037 Broadview Road, Ridge Park Square, Phase II""}",(555) 496-6340,(555) 444-5325,000496977999,,/services/images/photo/0011g00000nAbv3AAC,,Media,-1464411184,99000,Private,,,Warm,,0051g000004BvFfAAK,2012-05-13T17:36:25.000+0000,0051g000004BvFfAAK,2020-05-20T18:18:24.000+0000,0051g000004BvFfAAK,2020-05-20T18:18:25.000+0000,,2020-05-20T18:18:25.000+0000,2020-05-20T18:18:25.000+0000,,,Pending,,,,,,,,,
0011g00000nAbv4AAC,,,Hautamaki Technology,Channel Partner / Reseller,,705 Pintores Mexicanos,Guadalupe,NLE,67173,MX,,,,"{""city"":""Guadalupe"",""country"":""MX"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""67173"",""state"":""NLE"",""street"":""705 Pintores Mexicanos""}",705 Pintores Mexicanos,Guadalupe,NLE,67173,MX,,,,"{""city"":""Guadalupe"",""country"":""MX"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""67173"",""state"":""NLE"",""street"":""705 Pintores Mexicanos""}",(555) 263-3490,(555) 389-6814,000730261116,,/services/images/photo/0011g00000nAbv4AAC,,Technology,46816800,300,Private,,,Warm,,0051g000004BvFfAAK,2018-04-14T03:07:08.000+0000,0051g000004BvFfAAK,2020-05-20T18:18:24.000+0000,0051g000004BvFfAAK,2020-05-20T18:18:25.000+0000,,2020-05-20T18:18:25.000+0000,2020-05-20T18:18:25.000+0000,,,Pending,,,,,,,,,
0011g00000nAbv5AAC,,,Knife Labs,Prospect,,522 Shoppes Boulevard,North Brunswick,NJ,89022798,US,,,,"{""city"":""North Brunswick"",""country"":""US"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""89022798"",""state"":""NJ"",""street"":""522 Shoppes Boulevard""}",522 Shoppes Boulevard,North Brunswick,NJ,89022798,US,,,,"{""city"":""North Brunswick"",""country"":""US"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""89022798"",""state"":""NJ"",""street"":""522 Shoppes Boulevard""}",(555) 142-6275,(555) 903-6431,000616414767,,/services/images/photo/0011g00000nAbv5AAC,,Biotechnology,5218200,90,Other,,,Warm,,0051g000004BvFfAAK,2019-01-20T19:46:34.000+0000,0051g000004BvFfAAK,2020-05-20T18:18:24.000+0000,0051g000004BvFfAAK,2020-05-20T18:18:25.000+0000,,2020-05-20T18:18:25.000+0000,2020-05-20T18:18:25.000+0000,,,Pending,,,,,,,,,
0011g00000nAbv6AAC,,,Regional Tischler Entertainment,Installation Partner,,"1027, 7th Flr Central Chidlom Dept Store, Ploenchit Road, 1st Floor, (1A06-07) MBK Tower",Patumwan,10,10330,TH,,,,"{""city"":""Patumwan"",""country"":""TH"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""10330"",""state"":""10"",""street"":""1027, 7th Flr Central Chidlom Dept Store, Ploenchit Road, 1st Floor, (1A06-07) MBK Tower""}","1027, 7th Flr Central Chidlom Dept Store, Ploenchit Road, 1st Floor, (1A06-07) MBK Tower",Patumwan,10,10330,TH,,,,"{""city"":""Patumwan"",""country"":""TH"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""10330"",""state"":""10"",""street"":""1027, 7th Flr Central Chidlom Dept Store, Ploenchit Road, 1st Floor, (1A06-07) MBK Tower""}",(555) 814-2021,(555) 569-8801,000728978710,,/services/images/photo/0011g00000nAbv6AAC,,Entertainment,8602000,88,Public,,,Warm,,0051g000004BvFfAAK,2005-06-22T18:29:04.000+0000,0051g000004BvFfAAK,2020-05-20T18:18:24.000+0000,0051g000004BvFfAAK,2020-05-20T18:18:25.000+0000,,2020-05-20T18:18:25.000+0000,2020-05-20T18:18:25.000+0000,,,Pending,,,,,,,,,
0011g00000nAbv7AAC,,,Mcwherter Machinery,Channel Partner / Reseller,,"1225 Eye Street, NW",Washington,DC,20005,US,,,,"{""city"":""Washington"",""country"":""US"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""20005"",""state"":""DC"",""street"":""1225 Eye Street, NW""}","1225 Eye Street, NW",Washington,DC,20005,US,,,,"{""city"":""Washington"",""country"":""US"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""20005"",""state"":""DC"",""street"":""1225 Eye Street, NW""}",(555) 395-2915,(555) 816-7191,000899638017,,/services/images/photo/0011g00000nAbv7AAC,,Machinery,70917030,510,Subsidiary,,,Warm,,0051g000004BvFfAAK,2017-03-04T16:08:24.000+0000,0051g000004BvFfAAK,2020-05-20T18:18:24.000+0000,0051g000004BvFfAAK,2020-05-20T18:18:25.000+0000,,2020-05-20T18:18:25.000+0000,2020-05-20T18:18:25.000+0000,,,Pending,,,,,,,,,
